sentence,cluster
com.elift.hdplayer,5
com.Cafecafeoore.EscapeGameGraduate2024,806
solitaire.card.games.solitaire.newyear.free,1063
com.tforp.markettrends,2438
com.threebeesglobalgames.bus.coach.driving.simulator.driver,485
com.adengames.weaponcraftrun,2008
dichos.refranes.populares,1062
com.morecast.weather,2184
com.textsnap.converter,704
com.anymacar.lada.drivingrace,1366
com.mobilecardgames.solitaire,1063
com.esuper.file.explorer,543
com.dazo.dazoppy,1855
com.bee.geese.wifi.shoe,2122
com.service.fullscreenmaps,59
net.sdvlgroup.apps.prankcallcelebrity,166
com.soccerstar.football.star.simulator.free.soccer.games,315
com.dkzkcmzl.ddokTalk,692
com.dominigames.cl2.free2play,128
com.studio08.xbgamestream.xbox.game.stream.remote.play,2336
com.run_quokka.sugar_gnome,2175
com.genius.vampirebutler,1656
snapedit.app.remove,603
com.wejoy.lasthunter.tw,1125
com.mobilecasemakeover.DIYMobilePhoneCase,2318
com.citybay.farming.citybuilding,1074
com.asmr.studio.doctor,865
com.mymelody.kuromiwallpapers,51
com.appex.live.vr.sbs.popular.movies,621
com.masterapps.sorteiodenumeros,494
com.appsmotor.imageenhancer,2389
com.rlg.mechanical.excavator.robot.flying.transforme,475
jp.paddleinc.walk,1649
com.face.yoga.massage.skincare.exercise,147
com.starngemanfromwindow.manfromwindow.rabbit,1621
com.persona.games.tank.mix,38
com.fpsgames.gungames.online.strike.fps.counter.attack.terrorist.strike.fpscommando,1247
madrunning.gotas.dev,1389
com.productmadness.cashmancasino,323
com.clubcooee.cooee,718
com.eryodsoft.android.cards.coinche.lite,222
com.starsprite.tilecraft,581
cooking.tycoon.mini.simulator,2381
com.tbegames.and.merge_football_manager_soccer,161
com.adc.superhero,1355
com.inwave.idle.tycoon.restaurant.sim,1827
com.iterationone.nightclubtycoon,1068
com.traffic.puzzle.dg,470
bubble.shooter.ot,686
com.rlg.multirobot.dino.attackgames.flying.bike.transform,475
com.mmcallsapp.sidelinecall.android,738
com.lazygeniouz.saveit,533
com.TeamArena.LineofDuty.ZombieKill.gunshoot,1115
com.squarepuzz.shootingparty,1968
com.fansipan.stickman.fight.shadow.knights,260
com.RonDarkon.GiftCardBall,2492
idiom.word.games.find.words,221
photo.beautycamera.selfie.prettycamera,456
com.vid.mate.apkforyou,1552
com.videoforsoftware.dojangmaker,1243
com.coded.grovenetwork,1182
com.dominigames.dr5.free2play,128
com.raistar.headshot,654
com.oscarthecat.myvirtualpet,1597
com.giamping.khvpn,322
com.samfdsatu.swordshield,463
com.perfect.sandwich.stack.maker.rush.challenge.game,18
volumebooster.bass.equalizer,598
com.kwai.video,1243
com.hitbytes.minidiarynotes,1033
com.rocket.charge,1369
com.pro.docfile.manager,60
com.supertools.conve.url.scanner.qr,430
com.intimetech.hpcountry,1013
com.fashion.blast.beauty.story.makeover.puzzle,890
com.zed.flutter_music_player,2221
com.fps.zombie.shootinggames.survivalgames.gungames,298
xcars.racing.simulator.toyota.hilux.suv,1718
com.fhuchudev.apyarcardownload,966
tempBundleId190kjhc292,113
com.fiogonia.spades,1625
com.tbgame.BeeFarm,171
com.vbapps.studymusic,294
com.scrapbook.collage.photomaker,2156
com.quyun.clickflix,513
videoplayerhd.videodownloaderhd.mediaplayerhd,263
com.m.etion.pay,1162
tk.jupiterbits.surahjinn,1543
hk.dog.wallpaper,1747
com.mobasquid.survivalgame,757
com.horsemen.ai.chat.gpt,2147
net.lemaudev.simulatornasigoreng,210
com.boge.lgmahjong,1449
ninja.giveawaygame.kr.difference,1294
com.mobilesantri.sulamtaufiqterjemah,223
com.DefaultCompany.DontGetGot,2474
com.wetimetech.baicaoyuan,447
com.HookGames.HandStrike,93
com.anime.manga.puzzles.jigsawcraft.game.art,625
com.kooapps.pocketfamily,871
com.appxplore.alienhive,33
com.quesera.kalpa,1132
com.education.skyland.pet.monster.craft,2348
com.maya.newkoreankeyboard,969
com.hardcore.SuperRobbyBros,383
com.creetgames.CookingCup,538
com.monstergamesproductions.train.driving.simulator,601
com.digitalmoka.scopadalnegro,1474
work.to.do.todo.any,812
com.lethe.petrolhead,1951
com.construction.ramp.jumping,1628
com.taprun.fruit.candy.candymonsterline,1457
fonts.keyboard.fontboard.stylish,2344
com.superonionboy.app,1928
com.unseenonline,660
com.imi.nitikowa,23
com.apalon.alarmclock.smart,1
com.rovio.dream,115
com.dominigames.fe3.free2play,128
com.cgs.fps.fire.shooting.game,1247
pt.cosmicode.guessup,522
com.idle.restaurant.simulator.clicker.tycoon.games,1827
com.fourchars.lmpfree,6
com.life.dream,1769
com.nbt.reader,1021
com.mxdzz.sea.huawei,1433
io.github.Antodo,1511
com.DarkonGames.RobuxKnife123,437
com.ezt.pdfreader.pdfviewer,880
com.uku.lucku,2481
com.unitedgames.animal.farm.villager.simulator.game,391
com.andmi.MergerWar.free,950
bolsa.familia_2023.consulta,799
com.jorgesanaguaray.seriesbiblicas,1895
com.shootbubbles.bubbleshooter.popgames,1886
com.idle.mortician.tycoon,897
com.zeptolab.omnomrun.google,758
com.defch.translateespeng,1600
artline.com.galaxy,1742
com.escape.barry.prison.obby,381
com.BlingBlingGames.CraftingIdleClicker,119
com.telos.app.im,1095
com.foobnix.pdf.reader,898
com.fstronger.idlefitnessclubtycoon.strongestbody,1327
com.miracle.mydoge.puzzle.an,1846
com.gtooist.bussimulator.busdriving.real.bus,485
com.game.wangengapp.gp,617
fast.carzone.shelby.mustang.drive,1774
com.pemstudio.magictileshiphop,1647
